policy,cap_MB,hit_ratio,bytes_saved_pct,avg_latency_ms
LRU,100,0.14791833466773419,0.14031565466643361,42.338871096877504
LFU,100,0.147017614091273,0.138820407164934,42.37840272217774
KDE,100,0.1477181745396317,0.13970740030797768,42.34587670136109
LSTM,100,0.14781825460368295,0.13981482300754125,42.34437550040032
LRU,500,0.2805244195356285,0.2650410120392123,35.838170536429146
LFU,500,0.27952361889511607,0.265041145428326,35.8832065652522
KDE,500,0.2773218574859888,0.2624304536950585,35.97427942353883
LSTM,500,0.2776220976781425,0.26292439358307657,35.96377101681345
LRU,1000,0.330164131305044,0.3166577081055807,33.5603482786229
LFU,1000,0.3212570056044836,0.31030216146832246,34.0002001601281
KDE,1000,0.31565252201761407,0.3059756855655772,34.250400320256205
LSTM,1000,0.3160528422738191,0.30683689014663956,34.23638911128903
